"title","revenue","rental_rate","count"
"Muscle Bright",86.73,2.99,27
"Seabiscuit Punk",86.76,2.99,24
"Slacker Liaisons",86.84,4.99,16
"Virgin Daisy",86.84,4.99,16
"Airport Pollock",86.85,4.99,15
"Panky Submarine",86.88,4.99,12
"Color Philadelphia",87.78,2.99,22
"Oz Liaisons",87.78,2.99,22
"Basic Easy",87.80,2.99,20
"Darn Forrester",87.83,4.99,17
"Hysterical Grail",87.85,4.99,15
"Bright Encounters",87.88,4.99,12
"Flash Wars",87.88,4.99,12
"Behavior Runaway",87.89,4.99,11
"Telemark Heartbreakers",88.76,2.99,24
"Idols Snatchers",88.76,2.99,24
"Metal Armageddon",88.79,2.99,21
"Candidate Perdition",88.82,2.99,17
"Rocky War",88.87,4.99,13
"Memento Zoolander",88.87,4.99,13
"Vacation Boondock",89.81,2.99,19
"Igby Maker",89.83,4.99,17
"Coldblooded Darling",89.84,4.99,16
"Pure Runner",89.85,2.99,15
"Ice Crossing",90.78,2.99,22
"Wizard Coldblooded",90.85,4.99,15
"Dude Blindness",90.87,4.99,13
"Balloon Homeward",91.78,2.99,22
"Destiny Saturday",91.85,4.99,15
"Silverado Goldfinger",91.88,4.99,12
"Fatal Haunted",92.77,2.99,23
"Hellfighters Sierra",92.81,2.99,19
"Jet Neighbors",92.83,4.99,17
"Core Suit",92.84,2.99,16
"Hanging Deep",92.85,4.99,15
"West Lion",92.86,4.99,14
"Sweethearts Suspects",93.73,0.99,27
"Camelot Vacation",93.76,0.99,24
"Bear Graceland",93.81,2.99,19
"Pickup Driving",93.85,2.99,15
"Sugar Wonka",93.85,4.99,15
"Day Unfaithful",93.88,4.99,12
"Spy Mile",94.73,2.99,27
"Expendable Stallion",94.74,0.99,26
"Fish Opus",94.78,2.99,22
"Patton Interview",94.79,2.99,21
"Fargo Gandhi",94.79,2.99,21
"Peak Forever",94.82,4.99,18
"Gorgeous Bingo",94.83,2.99,17
"French Holiday",94.84,4.99,16
"Mermaid Insects",94.85,4.99,15
"Gold River",94.86,4.99,14
"Bilko Anonymous",94.88,4.99,12
"Hyde Doctor",95.76,2.99,23
"Gangs Pride",95.78,2.99,22
"Salute Apollo",95.80,2.99,20
"Inch Jet",95.82,4.99,18
"Jericho Mulan",95.84,2.99,16
"Shock Cabin",96.71,2.99,29
"Rocketeer Mother",97.72,0.99,28
"Grit Clockwork",97.72,0.99,28
"Jason Trap",97.77,2.99,23
"Thief Pelican",97.84,4.99,16
"Brotherhood Blanket",98.77,0.99,23
"Egg Igby",98.81,2.99,19
"Hall Cassidy",98.84,4.99,16
"English Bulworth",99.74,0.99,26
"Knock Warlock",99.79,2.99,21
"Stepmom Dream",99.81,4.99,19
"Confused Candles",99.84,2.99,16
"Giant Troopers",100.74,2.99,26
"Invasion Cyclone",100.74,2.99,26
"Poseidon Forever",100.83,4.99,17
"Samurai Lion",101.76,2.99,24
"Tomorrow Hustler",101.76,2.99,24
"Expecations Natural",101.83,4.99,17
"Sweden Shining",101.83,4.99,16
"Attacks Hate",101.84,4.99,16
"Paycheck Wait",101.84,4.99,16
"Forward Temple",102.74,2.99,26
"Timberland Sky",102.74,0.99,26
"South Wait",102.79,2.99,21
"Undefeated Dalmations",102.81,4.99,19
"Birds Perdition",102.83,4.99,17
"Greatest North",103.73,2.99,27
"Cupboard Sinners",103.78,2.99,22
"Angels Life",103.80,2.99,20
"Open African",103.81,4.99,19
"Million Ace",103.83,4.99,17
"Sleepless Monsoon",103.83,4.99,17
"Tycoon Gathering",103.88,4.99,12
"Hanky October",104.77,2.99,23
"Arizona Bang",104.79,2.99,21
"Truman Crazy",104.80,4.99,20
"Wash Heavenly",104.80,4.99,20
"Jerk Paycheck",104.81,2.99,19
"Breakfast Goldfinger",104.84,4.99,16
"Strangers Graffiti",104.86,4.99,14
"Clueless Bucket",105.77,2.99,23
"Reign Gentlemen",105.81,2.99,19
"Secret Groundhog",105.81,4.99,19
"Driving Polish",105.81,4.99,19
"Chasing Fight",105.82,4.99,19
"Requiem Tycoon",105.82,4.99,18
"League Hellfighters",105.83,4.99,17
"Galaxy Sweethearts",105.84,4.99,16
"Virtual Spoilers",105.87,4.99,13
"Spice Sorority",106.81,4.99,19
"Falcon Volume",106.81,4.99,18
"Brooklyn Desert",106.81,4.99,19
"Scarface Bang",106.84,4.99,16
"Philadelphia Wife",107.80,4.99,21
"Ghost Groundhog",107.81,4.99,19
"Command Darling",107.84,4.99,16
"Butterfly Chocolat",108.74,0.99,26
"Arachnophobia Rollercoaster",109.77,2.99,23
"Horn Working",109.77,2.99,23
"Shawshank Bubble",109.81,4.99,19
"Teen Apollo",109.86,4.99,14
"Ridgemont Submarine",110.72,0.99,28
"Prejudice Oleander",110.81,4.99,19
"Interview Liaisons",110.82,4.99,18
"Mission Zoolander",110.84,4.99,16
"Candles Grapes",111.80,4.99,20
"Money Harold",111.80,2.99,20
"Agent Truman",111.81,2.99,19
"Secretary Rouge",112.82,4.99,18
"Strictly Scarface",113.77,2.99,23
"Redemption Comforts",113.80,2.99,20
"Lady Stage",113.84,4.99,16
"Whale Bikini",113.85,4.99,15
"Cause Date",114.81,2.99,19
"Conversation Downhill",114.83,4.99,17
"Beverly Outlaw",115.79,2.99,21
"Freddy Storm",115.79,4.99,21
"Hunchback Impossible",115.83,4.99,17
"Road Roxanne",115.83,4.99,17
"Network Peak",116.73,2.99,27
"Metropolis Coma",116.76,2.99,24
"Waterfront Deliverance",116.84,4.99,16
"High Encino",117.79,2.99,21
"Snatch Slipper",117.80,4.99,20
"Fidelity Devil",117.82,4.99,18
"Suspects Quills",118.73,2.99,27
"Maltese Hope",118.79,4.99,21
"Desert Poseidon",118.81,4.99,19
"Doors President",118.82,4.99,18
"Bingo Talented",119.75,2.99,25
"Rage Games",119.81,4.99,19
"Pinocchio Simon",119.82,4.99,18
"Trap Guys",119.85,4.99,15
"Something Duck",120.82,4.99,18
"Kissing Dolls",120.83,4.99,17
"Dawn Pond",120.83,4.99,17
"Pulp Beverly",121.74,2.99,26
"Princess Giant",121.77,2.99,24
"Sleeping Suspects",121.78,4.99,22
"Center Dinosaur",121.79,4.99,21
"Coma Head",122.77,4.99,23
"Yentl Idaho",122.79,4.99,21
"Satisfaction Confidential",122.84,4.99,16
"Heavyweights Beast",123.78,4.99,22
"Calendar Gunfight",123.82,4.99,18
"Chance Resurrection",124.76,2.99,24
"Gleaming Jawbreaker",125.72,2.99,27
"Movie Shakespeare",125.78,4.99,23
"Beauty Grease",125.79,4.99,21
"Seattle Expecations",125.80,4.99,19
"Liaisons Sweet",126.79,4.99,21
"Sabrina Midnight",126.79,4.99,21
"Kiss Glory",126.79,4.99,21
"Tourist Pelican",126.81,4.99,19
"Queen Luke",128.79,4.99,21
"Details Packer",128.82,4.99,18
"Midsummer Groundhog",129.82,4.99,18
"Coneheads Smoochy",131.76,4.99,24
"Lies Treatment",131.76,4.99,24
"Aladdin Calendar",131.77,4.99,23
"Drifter Commandments",131.78,4.99,22
"Name Detective",131.78,4.99,22
"Moonshine Cabin",131.80,4.99,20
"Durham Panky",132.76,4.99,24
"Easy Gladiator",132.80,4.99,20
"Heartbreakers Bright",132.80,4.99,20
"Trading Pinocchio",133.77,4.99,23
"Attraction Newton",133.78,4.99,22
"Flamingos Connecticut",134.78,4.99,22
"Eagles Panky",134.81,4.99,19
"Suit Walls",134.81,4.99,19
"Garden Island",134.82,4.99,18
"Flintstones Happiness",134.83,4.99,17
"Trip Newton",135.74,4.99,26
"Confidential Interview",136.76,4.99,24
"Steel Santa",136.78,4.99,22
"Fellowship Autumn",137.76,4.99,24
"Roses Treasure",137.77,4.99,23
"Streetcar Intentions",137.77,4.99,23
"Pity Bound",138.77,4.99,23
"Stagecoach Armageddon",138.77,4.99,23
"Mine Titans",138.83,4.99,17
"Secrets Paradise",139.82,4.99,18
"Boogie Amelie",140.74,4.99,25
"Dorado Notting",140.78,4.99,22
"Backlash Undefeated",140.84,4.99,16
"Forrester Comancheros",141.74,4.99,26
"Whisperer Giant",141.80,4.99,20
"Head Stranger",142.79,4.99,21
"Wonderland Christmas",142.79,4.99,21
"Working Microcosmos",144.78,4.99,22
"Minds Truman",144.81,4.99,19
"Show Lord",145.78,4.99,22
"Witches Panic",146.75,4.99,25
"American Circus",146.81,4.99,19
"Videotape Arsenic",148.76,4.99,24
"Nightmare Chill",148.79,4.99,21
"Massacre Usual",149.75,4.99,25
"Titanic Boondock",149.78,4.99,22
"Sting Personal",149.80,4.99,20
"Bucket Brotherhood",150.72,4.99,28
"Closer Bang",152.76,4.99,24
"Velvet Terminator",152.77,4.99,23
"Maiden Home",152.78,4.99,22
"Lola Agent",154.77,4.99,23
"Sunrise League",155.78,4.99,22
"Scalawag Duck",157.71,4.99,29
"Range Moonwalker",158.77,4.99,23
"Scorpion Apollo",158.79,4.99,21
"Cat Coneheads",159.73,4.99,27
"Enemy Odds",159.75,4.99,25
"Apache Divine",160.72,4.99,28
"Fool Mockingbird",162.79,4.99,21
"Goodfellas Salute",164.75,4.99,25
"Pelican Comforts",165.77,4.99,23
"Dogma Family",168.72,4.99,28
"Torque Bound",169.76,4.99,23
"Harry Idaho",177.73,4.99,27
"Titans Jerk",186.73,4.99,27
"Saturday Lambs",190.74,4.99,26
"Hustler Party",190.78,4.99,22
"Innocent Usual",191.74,4.99,26
"Wife Turn",198.73,4.99,27
"Zorro Ark",199.72,4.99,28
"Telegraph Voyage",215.75,4.99,25
"Argonauts Town",NULL,0.99,0
"Commandments Express",NULL,4.99,0
"Hocus Frida",NULL,2.99,0
"Pearl Destiny",NULL,2.99,0
"Crowds Telemark",NULL,4.99,0
"Sister Freddy",NULL,4.99,0
"Dazed Punk",NULL,4.99,0
"Chinatown Gladiator",NULL,4.99,0
"Kentuckian Giant",NULL,2.99,0
"Chocolate Duck",NULL,2.99,0
"Hate Handicap",NULL,0.99,0
"Arsenic Independence",NULL,0.99,0
"Frankenstein Stranger",NULL,0.99,0
"Catch Amistad",NULL,0.99,0
"Perdition Fargo",NULL,4.99,0
"Gladiator Westward",NULL,4.99,0
"Roof Champion",NULL,0.99,0
"Muppet Mile",NULL,4.99,0
"Floats Garden",NULL,2.99,0
"Psycho Shrunk",NULL,2.99,0
"Gump Date",NULL,4.99,0
"Sky Miracle",NULL,2.99,0
"Apollo Teen",NULL,2.99,0
"Crystal Breaking",NULL,2.99,0
"Ark Ridgemont",NULL,0.99,0
"Villain Desperate",NULL,4.99,0
"Wake Jaws",NULL,4.99,0
"Tadpole Park",NULL,2.99,0
"Kill Brotherhood",NULL,0.99,0
"Butch Panther",NULL,0.99,0
"Firehouse Vietnam",NULL,0.99,0
"Order Betrayed",NULL,2.99,0
"Suicides Silence",NULL,4.99,0
"Crossing Divorce",NULL,4.99,0
"Alice Fantasia",NULL,0.99,0
"Rainbow Shock",NULL,4.99,0
"Boondock Ballroom",NULL,0.99,0
"Volume House",NULL,4.99,0
"Walls Artist",NULL,4.99,0
"Raiders Antitrust",NULL,0.99,0
"Deliverance Mulholland",NULL,0.99,0
"Treasure Command",NULL,0.99,0
